nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
       215, 2.036680049E-01,-1.029431599E-01, 0.000000000E+00, 1.010007455E+00
       216,-7.389026570E-02,-1.029146341E-01, 0.000000000E+00, 1.000717652E+00
       217, 1.800357475E-01,-1.029117009E-01, 0.000000000E+00, 1.010128919E+00
       218, 1.976329912E-01,-1.028258955E-01, 0.000000000E+00, 1.010041229E+00
       219,-7.993454461E-02,-1.026932860E-01, 0.000000000E+00, 1.000487500E+00
       220,-8.596459157E-02,-1.026862899E-01, 0.000000000E+00, 1.000307243E+00
       221,-1.044102673E-01,-1.025802432E-01, 0.000000000E+00, 1.000017259E+00
       222,-9.973051431E-02,-1.021759629E-01, 0.000000000E+00, 1.000055725E+00
       223, 1.942134769E-01,-1.019592866E-01, 0.000000000E+00, 1.010064325E+00
       224,-9.429058190E-02,-1.017429337E-01, 0.000000000E+00, 1.000127028E+00
       225,-3.480609244E-02,-1.014701904E-01, 0.000000000E+00, 1.003551445E+00
       226,-4.080653315E-02,-1.014679666E-01, 0.000000000E+00, 1.002977376E+00
       227, 1.104405014E-01,-1.014643883E-01, 0.000000000E+00, 1.010686586E+00
       228, 1.164773085E-01,-1.014633098E-01, 0.000000000E+00, 1.010624105E+00
       229,-4.679567497E-02,-1.014589885E-01, 0.000000000E+00, 1.002441259E+00
       230,-2.878726107E-02,-1.014576132E-01, 0.000000000E+00, 1.004221816E+00
       231, 1.043912254E-01,-1.014541343E-01, 0.000000000E+00, 1.010753452E+00
       232, 1.225158278E-01,-1.014525197E-01, 0.000000000E+00, 1.010563662E+00
       233, 4.990122656E-02,-1.014493274E-01, 0.000000000E+00, 1.010894038E+00
       234, 5.595655138E-02,-1.014477257E-01, 0.000000000E+00, 1.010981388E+00
       235,-5.277437056E-02,-1.014412407E-01, 0.000000000E+00, 1.001944394E+00
       236, 1.285547979E-01,-1.014387141E-01, 0.000000000E+00, 1.010504890E+00
       237,-2.274921610E-02,-1.014283544E-01, 0.000000000E+00, 1.004913070E+00
       238, 4.383806381E-02,-1.014284546E-01, 0.000000000E+00, 1.010754849E+00
       239, 6.199762306E-02,-1.014282532E-01, 0.000000000E+00, 1.011025373E+00
       240, 9.832422505E-02,-1.014279409E-01, 0.000000000E+00, 1.010816484E+00
       241, 1.356498789E-02,-1.014263067E-01, 0.000000000E+00, 1.008990190E+00
       242, 7.502894155E-03,-1.014244920E-01, 0.000000000E+00, 1.008411470E+00
       243, 1.345843715E-01,-1.014245005E-01, 0.000000000E+00, 1.010450860E+00
       244, 1.888619958E-01,-1.014219417E-01, 0.000000000E+00, 1.010094580E+00
       245,-5.876086542E-02,-1.014150782E-01, 0.000000000E+00, 1.001522079E+00
       246, 1.406077383E-01,-1.014147471E-01, 0.000000000E+00, 1.010401001E+00
       247, 1.963296498E-02,-1.014080128E-01, 0.000000000E+00, 1.009508922E+00
       248, 1.466350820E-01,-1.014071069E-01, 0.000000000E+00, 1.010354327E+00
       249, 6.804040152E-02,-1.014024567E-01, 0.000000000E+00, 1.011038332E+00
       250, 1.440579071E-03,-1.014019646E-01, 0.000000000E+00, 1.007784125E+00
       251, 3.777869416E-02,-1.013956175E-01, 0.000000000E+00, 1.010555220E+00
       252,-1.670079236E-02,-1.013938528E-01, 0.000000000E+00, 1.005654291E+00
       253, 1.526791821E-01,-1.013934636E-01, 0.000000000E+00, 1.010311022E+00
       254, 9.225861558E-02,-1.013907803E-01, 0.000000000E+00, 1.010880371E+00
       255, 2.569211241E-02,-1.013831283E-01, 0.000000000E+00, 1.009936767E+00
       256,-4.614280327E-03,-1.013786881E-01, 0.000000000E+00, 1.007096705E+00
       257, 3.173752136E-02,-1.013766567E-01, 0.000000000E+00, 1.010283502E+00
       258, 7.409188034E-02,-1.013757299E-01, 0.000000000E+00, 1.011020070E+00
       259,-1.065954730E-02,-1.013730021E-01, 0.000000000E+00, 1.006383733E+00
       260, 8.620381496E-02,-1.013633579E-01, 0.000000000E+00, 1.010940404E+00
       261, 8.015005905E-02,-1.013608612E-01, 0.000000000E+00, 1.010987044E+00
       262, 1.587398171E-01,-1.013556463E-01, 0.000000000E+00, 1.010269829E+00
       263,-6.477371824E-02,-1.013551101E-01, 0.000000000E+00, 1.001149863E+00
       264, 1.648189005E-01,-1.012942055E-01, 0.000000000E+00, 1.010231293E+00
       265,-7.083626998E-02,-1.012444337E-01, 0.000000000E+00, 1.000846173E+00
       266, 1.708742410E-01,-1.012385632E-01, 0.000000000E+00, 1.010194849E+00
       267,-8.872777788E-02,-1.012269762E-01, 0.000000000E+00, 1.000234621E+00
       268, 1.830105372E-01,-1.011931439E-01, 0.000000000E+00, 1.010127866E+00
       269, 1.769722312E-01,-1.011700926E-01, 0.000000000E+00, 1.010160904E+00
       270,-1.099982910E-01,-1.011594734E-01, 0.000000000E+00, 1.000000000E+00
       271,-1.095451746E-01,-1.011594734E-01, 0.000000000E+00, 1.000003114E+00
       272,-7.693308365E-02,-1.010740228E-01, 0.000000000E+00, 1.000593352E+00
       273, 2.085834854E-01,-1.010308037E-01, 0.000000000E+00, 1.009999314E+00
       274, 2.099982910E-01,-1.010308037E-01, 0.000000000E+00, 1.009991191E+00
       275,-8.292854160E-02,-1.010055071E-01, 0.000000000E+00, 1.000386532E+00
       276, 1.994442788E-01,-9.989181351E-02, 0.000000000E+00, 1.010052799E+00
       277, 2.022264771E-01,-9.980446792E-02, 0.000000000E+00, 1.010036851E+00
       278,-9.983798360E-02,-9.928466194E-02, 0.000000000E+00, 1.000054999E+00
       279,-1.044568002E-01,-9.829967502E-02, 0.000000000E+00, 1.000017347E+00
       280, 1.043997191E-01,-9.826669389E-02, 0.000000000E+00, 1.010807262E+00
       281, 1.104400435E-01,-9.825825472E-02, 0.000000000E+00, 1.010739796E+00
       282, 4.990671265E-02,-9.825590125E-02, 0.000000000E+00, 1.011010051E+00
       283, 1.164732812E-01,-9.824975450E-02, 0.000000000E+00, 1.010671605E+00
       284,-9.474898715E-02,-9.824535360E-02, 0.000000000E+00, 1.000122278E+00
       285, 1.225058109E-01,-9.824050047E-02, 0.000000000E+00, 1.010610164E+00
       286,-2.879910500E-02,-9.823381917E-02, 0.000000000E+00, 1.004219371E+00
       287,-3.480417886E-02,-9.823307184E-02, 0.000000000E+00, 1.003548923E+00
       288, 9.835250909E-02,-9.822836400E-02, 0.000000000E+00, 1.010876449E+00
       289, 5.594170268E-02,-9.822726437E-02, 0.000000000E+00, 1.011092792E+00
       290, 4.386296015E-02,-9.821829685E-02, 0.000000000E+00, 1.010885405E+00
       291, 1.355988234E-02,-9.821790578E-02, 0.000000000E+00, 1.009136840E+00
       292,-4.079877874E-02,-9.821556991E-02, 0.000000000E+00, 1.002962769E+00
       293, 7.513249596E-03,-9.820634397E-02, 0.000000000E+00, 1.008538291E+00
       294, 1.285395899E-01,-9.820323603E-02, 0.000000000E+00, 1.010550801E+00
       295,-2.277372944E-02,-9.819987977E-02, 0.000000000E+00, 1.004932615E+00
       296, 1.960963052E-02,-9.817959532E-02, 0.000000000E+00, 1.009660263E+00
       297,-4.678081536E-02,-9.817665674E-02, 0.000000000E+00, 1.002425519E+00
       298, 6.197898086E-02,-9.817260156E-02, 0.000000000E+00, 1.011128297E+00
       299, 1.464312138E-03,-9.815901658E-02, 0.000000000E+00, 1.007891245E+00
       300, 1.345720561E-01,-9.815416237E-02, 0.000000000E+00, 1.010497692E+00
       301,-5.276001112E-02,-9.814046061E-02, 0.000000000E+00, 1.001921819E+00
       302, 1.466332813E-01,-9.813407168E-02, 0.000000000E+00, 1.010397466E+00
       303, 1.943056462E-01,-9.813174880E-02, 0.000000000E+00, 1.010094644E+00
       304, 1.526638656E-01,-9.812754916E-02, 0.000000000E+00, 1.010352357E+00
       305, 1.406020108E-01,-9.812705525E-02, 0.000000000E+00, 1.010447894E+00
       306, 6.802056174E-02,-9.812491202E-02, 0.000000000E+00, 1.011132878E+00
       307, 9.229171138E-02,-9.812355145E-02, 0.000000000E+00, 1.010940472E+00
       308, 3.780938886E-02,-9.811547134E-02, 0.000000000E+00, 1.010697889E+00
       309,-1.672919402E-02,-9.811291614E-02, 0.000000000E+00, 1.005700706E+00
       310,-5.873519040E-02,-9.810559457E-02, 0.000000000E+00, 1.001502550E+00
       311, 2.567216690E-02,-9.809635681E-02, 0.000000000E+00, 1.010094204E+00
       312, 7.407608095E-02,-9.809329214E-02, 0.000000000E+00, 1.011105510E+00
       313,-4.597278921E-03,-9.808570233E-02, 0.000000000E+00, 1.007192365E+00
       314, 1.587045020E-01,-9.808042857E-02, 0.000000000E+00, 1.010310104E+00
       315,-1.066452901E-02,-9.805392249E-02, 0.000000000E+00, 1.006454290E+00
       316,-6.472177198E-02,-9.805338549E-02, 0.000000000E+00, 1.001141165E+00
       317, 3.174098188E-02,-9.805195559E-02, 0.000000000E+00, 1.010431354E+00
       318, 8.014203413E-02,-9.805055255E-02, 0.000000000E+00, 1.011066045E+00
       319, 8.621711016E-02,-9.804219412E-02, 0.000000000E+00, 1.011013662E+00
       320, 1.647579603E-01,-9.796084950E-02, 0.000000000E+00, 1.010272458E+00
       321, 1.890836765E-01,-9.793306795E-02, 0.000000000E+00, 1.010127463E+00
