nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
      3126, 5.219545259E-03,-1.333905113E-02, 0.000000000E+00, 1.091378418E+00
      3127, 2.332675810E-03,-1.333685216E-02, 0.000000000E+00, 1.107797516E+00
      3128, 4.228308727E-03,-1.333567150E-02, 0.000000000E+00, 1.097379633E+00
      3129, 1.207569511E-02,-1.330669155E-02, 0.000000000E+00, 1.005776145E+00
      3130,-3.718109791E-02,-1.330642652E-02, 0.000000000E+00, 9.807522282E-01
      3131,-1.271957086E-03,-1.330259542E-02, 0.000000000E+00, 1.116087771E+00
      3132, 3.061174355E-03,-1.329507931E-02, 0.000000000E+00, 1.103543302E+00
      3133, 1.764021068E-02,-1.327583800E-02, 0.000000000E+00, 9.066737833E-01
      3134, 1.941069207E-04,-1.325280299E-02, 0.000000000E+00, 1.119038191E+00
      3135,-2.133897569E-03,-1.324578845E-02, 0.000000000E+00, 1.111116667E+00
      3136, 5.667505071E-02,-1.324390143E-02, 0.000000000E+00, 8.965557517E-01
      3137,-3.340578702E-03,-1.323118592E-02, 0.000000000E+00, 1.091789777E+00
      3138, 1.351473768E-01,-1.322651620E-02, 0.000000000E+00, 9.208024542E-01
      3139, 1.337792266E-03,-1.321641422E-02, 0.000000000E+00, 1.113346802E+00
      3140,-5.410209167E-04,-1.319425813E-02, 0.000000000E+00, 1.119369381E+00
      3141, 2.591292714E-03,-1.318963148E-02, 0.000000000E+00, 1.108806427E+00
      3142,-6.172767339E-03,-1.318610365E-02, 0.000000000E+00, 1.036560089E+00
      3143, 7.840066605E-03,-1.318092343E-02, 0.000000000E+00, 1.065933572E+00
      3144, 1.322551199E-01,-1.315708418E-02, 0.000000000E+00, 9.194890456E-01
      3145,-2.927701216E-03,-1.314153940E-02, 0.000000000E+00, 1.103409060E+00
      3146, 4.741822668E-03,-1.313476668E-02, 0.000000000E+00, 1.094353783E+00
      3147, 8.533875896E-03,-1.312266045E-02, 0.000000000E+00, 1.057200875E+00
      3148, 9.986856944E-04,-1.311523925E-02, 0.000000000E+00, 1.118821650E+00
      3149,-6.714283471E-03,-1.310011167E-02, 0.000000000E+00, 1.022187959E+00
      3150, 6.299610775E-03,-1.309146767E-02, 0.000000000E+00, 1.081754307E+00
      3151,-1.095344778E-02,-1.307513646E-02, 0.000000000E+00, 9.499620140E-01
      3152, 1.514455350E-02,-1.305536224E-02, 0.000000000E+00, 9.001951777E-01
      3153,-1.430760698E-02,-1.303270402E-02, 0.000000000E+00, 9.306236157E-01
      3154,-4.218553378E-03,-1.303036787E-02, 0.000000000E+00, 1.080920299E+00
      3155, 7.890935041E-02,-1.299954315E-02, 0.000000000E+00, 8.903727503E-01
      3156,-1.905017890E-02,-1.299899157E-02, 0.000000000E+00, 9.372995994E-01
      3157, 5.672592023E-03,-1.297842924E-02, 0.000000000E+00, 1.084050237E+00
      3158, 1.703803700E-03,-1.297597594E-02, 0.000000000E+00, 1.115256266E+00
      3159, 7.278263376E-02,-1.297343050E-02, 0.000000000E+00, 8.935841389E-01
      3160, 1.036199049E-02,-1.293962896E-02, 0.000000000E+00, 1.012252501E+00
      3161,-1.203188571E-02,-1.293721613E-02, 0.000000000E+00, 9.402960863E-01
      3162,-4.975533614E-03,-1.291236793E-02, 0.000000000E+00, 1.065433343E+00
      3163,-3.736674267E-03,-1.291049784E-02,
 0.000000000E+00, 1.093827920E+00
      3164, 1.302642487E-02,-1.287940930E-02, 0.000000000E+00, 9.350248769E-01
      3165,-1.602644317E-02,-1.284149619E-02, 0.000000000E+00, 9.290050935E-01
      3166,-4.498724244E-03,-1.283061880E-02, 0.000000000E+00, 1.080022908E+00
      3167, 3.479037627E-03,-1.280899162E-02, 0.000000000E+00, 1.102471624E+00
      3168, 3.759510011E-03,-1.280910802E-02, 0.000000000E+00, 1.098497301E+00
      3169,-8.066523369E-03,-1.278073957E-02, 0.000000000E+00, 9.942513704E-01
      3170, 1.098784882E-01,-1.274581859E-02, 0.000000000E+00, 9.069305050E-01
      3171,-5.419868263E-04,-1.271712104E-02, 0.000000000E+00, 1.131965374E+00
      3172, 1.636538117E-04,-1.269840444E-02, 0.000000000E+00, 1.130629977E+00
      3173,-3.123391042E-02,-1.269292548E-02, 0.000000000E+00, 9.708366190E-01
      3174,-9.243124093E-03,-1.268936274E-02, 0.000000000E+00, 9.702844082E-01
      3175,-5.144807413E-02,-1.268071985E-02, 0.000000000E+00, 9.915843457E-01
      3176,-1.277952446E-03,-1.267629032E-02, 0.000000000E+00, 1.131611096E+00
      3177, 1.182559328E-01,-1.267328416E-02, 0.000000000E+00, 9.106588805E-01
      3178,-2.026127523E-03,-1.266684923E-02, 0.000000000E+00, 1.126208750E+00
      3179, 1.120639799E-02,-1.265250712E-02, 0.000000000E+00, 9.617947826E-01
      3180,-5.338572287E-02,-1.262588871E-02, 0.000000000E+00, 9.926662244E-01
      3181,-7.721341183E-02,-1.262415235E-02, 0.000000000E+00, 9.983819612E-01
      3182, 4.463868884E-02,-1.262039879E-02, 0.000000000E+00, 8.689754294E-01
      3183, 8.716423588E-04,-1.261542968E-02, 0.000000000E+00, 1.128570376E+00
      3184, 4.613056081E-02,-1.260566986E-02, 0.000000000E+00, 8.698443869E-01
      3185,-2.875922712E-03,-1.260177614E-02, 0.000000000E+00, 1.117316064E+00
      3186,-7.467042281E-02,-1.259627953E-02, 0.000000000E+00, 9.980063664E-01
      3187, 6.672912140E-03,-1.258769137E-02, 0.000000000E+00, 1.051335792E+00
      3188, 1.750666883E-03,-1.258522473E-02, 0.000000000E+00, 1.121061944E+00
      3189, 6.778775064E-02,-1.257610978E-02, 0.000000000E+00, 8.788496230E-01
      3190, 8.912704158E-02,-1.256985293E-02, 0.000000000E+00, 8.947993570E-01
      3191,-5.308607662E-03,-1.255187162E-02, 0.000000000E+00, 1.064255034E+00
      3192, 2.510307552E-03,-1.254409162E-02, 0.000000000E+00, 1.112926404E+00
      3193,-2.212798003E-04,-1.254184561E-02, 0.000000000E+00, 1.137593983E+00
      3194,-5.766158210E-03,-1.254128899E-02, 0.000000000E+00, 1.048993671E+00
      3195, 7.361779218E-03,-1.253638780E-02, 0.000000000E+00, 1.039149620E+00
      3196,-6.948740579E-03,-1.253168876E-02, 0.000000000E+00, 1.019734161E+00
      3197,-2.431394959E-02,-1.252140193E-02, 0.000000000E+00, 9.522917169E-01
      3198,-9.097915891E-04,-1.251680756E-02, 0.000000000E+00, 1.139552150E+00
      3199,-1.557595281E-03,-1.251401191E-02, 0.000000000E+00, 1.137016155E+00
      3200, 4.317177930E-04,-1.250923098E-02, 0.000000000E+00, 1.135140768E+00
      3201,-8.484947794E-03,-1.250889410E-02, 0.000000000E+00, 9.803395204E-01
      3202,-2.792827771E-02,-1.248761879E-02, 0.000000000E+00, 9.624048836E-01
      3203,-8.371237561E-02,-1.244690905E-02, 0.000000000E+00, 9.989888983E-01
      3204, 8.885994231E-03,-1.244060933E-02, 0.000000000E+00, 9.825870786E-01
      3205, 2.065132136E-01,-1.242483881E-02, 0.000000000E+00, 9.425120428E-01
      3206, 2.032294928E-01,-1.242290091E-02, 0.000000000E+00, 9.419402420E-01
      3207,-8.648873163E-02,-1.241278034E-02, 0.000000000E+00, 9.992335681E-01
      3208, 1.963090393E-01,-1.240301584E-02, 0.000000000E+00, 9.396696649E-01
      3209, 2.091234855E-03,-1.239792374E-02, 0.000000000E+00, 1.117875263E+00
      3210, 1.931331496E-01,-1.239612537E-02, 0.000000000E+00, 9.372400049E-01
      3211,-2.302885901E-03,-1.239090025E-02, 0.000000000E+00, 1.135161635E+00
      3212, 4.669781715E-03,-1.238899474E-02, 0.000000000E+00, 1.076014951E+00
      3213, 1.862695538E-01,-1.238614544E-02, 0.000000000E+00, 9.331503522E-01
      3214,-2.546424354E-03,-1.237650720E-02, 0.000000000E+00, 1.131511822E+00
      3215, 1.831941621E-01,-1.237008783E-02, 0.000000000E+00, 9.315074816E-01
      3216,-7.367752393E-03,-1.236430493E-02, 0.000000000E+00, 1.005396253E+00
      3217, 1.764054128E-01,-1.235754389E-02, 0.000000000E+00, 9.303273041E-01
      3218, 1.098479399E-03,-1.234803742E-02, 0.000000000E+00, 1.131250170E+00
      3219, 3.192744756E-03,-1.233508952E-02, 0.000000000E+00, 1.098308045E+00
      3220,-3.595505271E-03,-1.233308366E-02, 0.000000000E+00, 1.108820324E+00
      3221, 1.734312763E-01,-1.232640770E-02, 0.000000000E+00, 9.298775566E-01
      3222, 2.778814899E-03,-1.230991845E-02, 0.000000000E+00, 1.103812290E+00
      3223, 8.730795205E-02,-1.230954276E-02, 0.000000000E+00, 8.842699637E-01
      3224, 1.402407022E-03,-1.230925127E-02, 0.000000000E+00, 1.126796234E+00
      3225, 5.500722656E-03,-1.230493038E-02, 0.000000000E+00, 1.054037351E+00
      3226, 1.011381007E-01,-1.229510670E-02, 0.000000000E+00, 8.933095053E-01
      3227, 4.153941990E-03,-1.228914684E-02, 0.000000000E+00, 1.079581908E+00
      3228, 9.705261019E-03,-1.228907944E-02, 0.000000000E+00, 9.434255317E-01
      3229,-5.829669976E-02,-1.228364548E-02, 0.000000000E+00, 9.944761197E-01
      3230,-3.350798349E-03,-1.227835502E-02, 0.000000000E+00, 1.120925532E+00
      3231, 1.667513704E-01,-1.226929950E-02, 0.000000000E+00, 9.277919425E-01
      3232, 6.549238553E-02,-1.223901833E-02, 0.000000000E+00, 8.708906655E-01
      3233,-9.671716732E-03,-1.223308326E-02, 0.000000000E+00, 9.550245095E-01
      3234,-9.327872745E-02,-1.222147409E-02, 0.000000000E+00, 9.996109969E-01
      3235, 1.638440007E-01,-1.221634359E-02, 0.000000000E+00, 9.269288174E-01
      3236,-1.041154183E-02,-1.221123651E-02, 0.000000000E+00, 9.442767467E-01
      3237, 7.636244713E-02,-1.221038322E-02, 0.000000000E+00, 8.752493645E-01
      3238,-4.352176131E-03,-1.219041463E-02, 0.000000000E+00, 1.095338991E+00
      3239,-9.634035607E-02,-1.217589114E-02, 0.000000000E+00, 9.997470513E-01
      3240, 4.936093957E-03,-1.217461889E-02, 0.000000000E+00, 1.045033129E+00
      3241,-1.032491923E-01,-1.216793640E-02, 0.000000000E+00, 9.999271620E-01
      3242,-6.082113503E-02,-1.215607474E-02, 0.000000000E+00, 9.952252185E-01
      3243,-1.065107859E-01,-1.215118502E-02, 0.000000000E+00, 9.999779646E-01
      3244, 5.056808802E-02,-1.212196814E-02, 0.000000000E+00, 8.624480011E-01
      3245,-4.091404483E-02,-1.211256323E-02, 0.000000000E+00, 9.837299068E-01
      3246,-6.033821168E-03,-1.210895528E-02, 0.000000000E+00, 1.047701237E+00
      3247,-3.898579879E-03,-1.209461263E-02, 0.000000000E+00, 1.110853479E+00
      3248,-8.627946922E-04,-1.209258176E-02, 0.000000000E+00, 1.153649368E+00
      3249, 1.573204766E-01,-1.206512706E-02, 0.000000000E+00, 9.248672448E-01
      3250,-2.297086571E-04,-1.206309634E-02, 0.000000000E+00, 1.149559898E+00
      3251,-1.228161565E-02,-1.206111204E-02, 0.000000000E+00, 9.236397354E-01
      3252, 3.749202959E-04,-1.205862305E-02, 0.000000000E+00, 1.142959803E+00
      3253,-6.612903376E-02,-1.205020028E-02, 0.000000000E+00, 9.965428279E-01
      3254,-1.555088305E-03,-1.204357131E-02, 0.000000000E+00, 1.153582569E+00
      3255,-4.302102215E-02,-1.204131083E-02, 0.000000000E+00, 9.858074195E-01
      3256, 4.034669236E-03,-1.202883697E-02, 0.000000000E+00, 1.047922802E+00
      3257,-6.425209385E-03,-1.202364738E-02, 0.000000000E+00, 1.032617263E+00
      3258, 2.064134952E-02,-1.202180142E-02, 0.000000000E+00, 7.362728023E-01
      3259,-6.879023151E-02,-1.201774146E-02, 0.000000000E+00, 9.971042367E-01
      3260, 6.340598393E-03,-1.198199309E-02, 0.000000000E+00, 9.829734835E-01
      3261, 1.544384138E-01,-1.197962357E-02, 0.000000000E+00, 9.233346589E-01
      3262, 3.397233262E-02,-1.197879117E-02, 0.000000000E+00, 8.272102080E-01
      3263, 3.376357439E-03,-1.197806818E-02, 0.000000000E+00, 1.065595692E+00
      3264,-2.243149764E-02,-1.197506041E-02, 0.000000000E+00, 9.432337172E-01
      3265, 2.372572650E-02,-1.197145184E-02, 0.000000000E+00, 7.784597863E-01
      3266,-5.037827075E-03,-1.196614566E-02, 0.000000000E+00, 1.079014083E+00
      3267, 5.813693607E-03,-1.196534864E-02, 0.000000000E+00, 9.845011531E-01
      3268, 3.048588892E-02,-1.196158611E-02, 0.000000000E+00, 8.067475600E-01
      3269, 7.559827174E-03,-1.193742842E-02, 0.000000000E+00, 9.188462614E-01
      3270,-4.926887723E-04,-1.193512333E-02, 0.000000000E+00, 1.157746542E+00
      3271,-4.629163155E-03,-1.193400661E-02, 0.000000000E+00, 1.095360916E+00
      3272, 2.080091947E-03,-1.193106731E-02, 0.000000000E+00, 1.101850755E+00
      3273, 1.457172665E-05,-1.192724962E-02, 0.000000000E+00, 1.150317213E+00
      3274,-1.050863201E-03,-1.192483246E-02, 0.000000000E+00, 1.163324176E+00
      3275, 2.703279258E-02,-1.192455640E-02, 0.000000000E+00, 7.904557935E-01
      3276,-2.087295115E-03,-1.192392107E-02, 0.000000000E+00, 1.153300729E+00
      3277, 3.745087447E-02,-1.192170011E-02, 0.000000000E+00, 8.281892242E-01
      3278, 8.787335956E-04,-1.191805371E-02, 0.000000000E+00, 1.133287970E+00
      3279, 6.096196946E-02,-1.190946092E-02, 0.000000000E+00, 8.508521051E-01
      3280,-3.341333134E-02,-1.190753900E-02, 0.000000000E+00, 9.735181178E-01
