nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
       146,-1.365069897E-02,-1.065320929E-01, 0.000000000E+00, 1.004570365E+00
       147, 3.474543402E-02,-1.065316344E-01, 0.000000000E+00, 1.007598499E+00
       148, 7.105773313E-02,-1.065312050E-01, 0.000000000E+00, 1.007806683E+00
       149, 2.870119303E-02,-1.065301512E-01, 0.000000000E+00, 1.007406542E+00
       150,-7.611126708E-03,-1.065298435E-01, 0.000000000E+00, 1.005090202E+00
       151, 8.921179338E-02,-1.065279932E-01, 0.000000000E+00, 1.007619455E+00
       152, 7.710876488E-02,-1.065260926E-01, 0.000000000E+00, 1.007752891E+00
       153, 1.557741300E-01,-1.065254512E-01, 0.000000000E+00, 1.006964180E+00
       154, 8.316116198E-02,-1.065242352E-01, 0.000000000E+00, 1.007690511E+00
       155, 1.618401488E-01,-1.065119811E-01, 0.000000000E+00, 1.006924502E+00
       156,-6.790470925E-02,-1.065116034E-01, 0.000000000E+00, 1.000778472E+00
       157, 1.679058419E-01,-1.064980158E-01, 0.000000000E+00, 1.006889312E+00
       158, 1.860670591E-01,-1.064965256E-01, 0.000000000E+00, 1.006794955E+00
       159,-8.588310367E-02,-1.064948589E-01, 0.000000000E+00, 1.000244353E+00
       160, 1.739752559E-01,-1.064797598E-01, 0.000000000E+00, 1.006855850E+00
       161, 1.800326931E-01,-1.064771995E-01, 0.000000000E+00, 1.006824668E+00
       162,-7.395520391E-02,-1.064763472E-01, 0.000000000E+00, 1.000562174E+00
       163, 1.922576306E-01,-1.064612862E-01, 0.000000000E+00, 1.006766264E+00
       164,-7.996763651E-02,-1.064583176E-01, 0.000000000E+00, 1.000384209E+00
       165, 2.026076470E-01,-1.044981742E-01, 0.000000000E+00, 1.006731336E+00
       166, 1.984132070E-01,-1.044972302E-01, 0.000000000E+00, 1.006746024E+00
       167,-1.029313440E-01,-1.035813963E-01, 0.000000000E+00, 1.000025144E+00
       168,-9.755206489E-02,-1.035432720E-01, 0.000000000E+00, 1.000067862E+00
       169, 1.922858784E-01,-1.033238466E-01, 0.000000000E+00, 1.006788603E+00
       170, 1.073892109E-01,-1.032722484E-01, 0.000000000E+00, 1.007425541E+00
       171, 1.134376214E-01,-1.032703929E-01, 0.000000000E+00, 1.007356457E+00
       172, 1.194833086E-01,-1.032642303E-01, 0.000000000E+00, 1.007292684E+00
       173, 5.290486556E-02,-1.032606865E-01, 0.000000000E+00, 1.007907701E+00
       174, 1.013379090E-01,-1.032587495E-01, 0.000000000E+00, 1.007498822E+00
       175,-3.177279953E-02,-1.032582057E-01, 0.000000000E+00, 1.003007074E+00
       176,-3.779520433E-02,-1.032543759E-01, 0.000000000E+00, 1.002520209E+00
       177, 4.685652150E-02,-1.032528455E-01, 0.000000000E+00, 1.007871623E+00
       178, 1.255295656E-01,-1.032480504E-01, 0.000000000E+00, 1.007231110E+00
       179,-2.574384302E-02,-1.032423109E-01, 0.000000000E+00, 1.003518258E+00
       180,-4.380965724E-02,-1.032399546E-01, 0.000000000E+00, 1.002105024E+00
       181, 5.895026437E-02,-1.032383374E-01, 0.000000000E+00, 1.007909508E+00
       182, 1.054196334E-02,-1.032356423E-01, 0.000000000E+00, 1.006533942E+00
       183, 1.659217229E-02,-1.032279348E-01, 0.000000000E+00, 1.006908760E+00
       184, 1.315744400E-01,-1.032246978E-01, 0.000000000E+00, 1.007172868E+00
       185, 4.493506583E-03,-1.032193579E-01, 0.000000000E+00, 1.006110796E+00
       186,-4.982094285E-02,-1.032176726E-01, 0.000000000E+00, 1.001696049E+00
       187, 9.528200897E-02,-1.032161985E-01, 0.000000000E+00, 1.007572724E+00
       188, 4.080667392E-02,-1.032144290E-01, 0.000000000E+00, 1.007791627E+00
       189, 6.499790680E-02,-1.032096851E-01, 0.000000000E+00, 1.007886532E+00
       190,-1.970473019E-02,-1.032061479E-01, 0.000000000E+00, 1.004056327E+00
       191, 1.376192738E-01,-1.032055175E-01, 0.000000000E+00, 1.007120713E+00
       192,-1.074167372E-01,-1.032003588E-01, 0.000000000E+00, 1.000004898E+00
       193, 1.436633095E-01,-1.031969499E-01, 0.000000000E+00, 1.007072616E+00
       194, 1.497102941E-01,-1.031941458E-01, 0.000000000E+00, 1.007027902E+00
       195,-5.582944542E-02,-1.031937576E-01, 0.000000000E+00, 1.001346770E+00
       196, 2.264371850E-02,-1.031930231E-01, 0.000000000E+00, 1.007228599E+00
       197,-1.557210199E-03,-1.031835356E-01, 0.000000000E+00, 1.005642440E+00
       198, 7.104757168E-02,-1.031807041E-01, 0.000000000E+00, 1.007844235E+00
       199, 1.557598387E-01,-1.031713185E-01, 0.000000000E+00, 1.006986983E+00
       200, 3.475289818E-02,-1.031690253E-01, 0.000000000E+00, 1.007662772E+00
       201, 8.922322498E-02,-1.031661315E-01, 0.000000000E+00, 1.007649776E+00
       202,-1.365930498E-02,-1.031651323E-01, 0.000000000E+00, 1.004601379E+00
       203, 2.869861988E-02,-1.031633899E-01, 0.000000000E+00, 1.007474513E+00
       204,-7.608237742E-03,-1.031579296E-01, 0.000000000E+00, 1.005127169E+00
       205, 7.710354730E-02,-1.031570667E-01, 0.000000000E+00, 1.007785352E+00
       206,-6.184189561E-02,-1.031565001E-01, 0.000000000E+00, 1.001037529E+00
       207, 8.316190664E-02,-1.031463677E-01, 0.000000000E+00, 1.007722765E+00
       208, 1.618168517E-01,-1.031186080E-01, 0.000000000E+00, 1.006947568E+00
       209,-6.786042498E-02,-1.030766739E-01, 0.000000000E+00, 1.000774188E+00
       210,-9.187275970E-02,-1.030401178E-01, 0.000000000E+00, 1.000138887E+00
       211, 1.678801197E-01,-1.030294643E-01, 0.000000000E+00, 1.006912376E+00
       212, 1.861319943E-01,-1.029972145E-01, 0.000000000E+00, 1.006818198E+00
       213, 1.739515100E-01,-1.029771432E-01, 0.000000000E+00, 1.006879168E+00
       214, 2.070346398E-01,-1.029470763E-01, 0.000000000E+00, 1.006721766E+00
       215, 2.036680049E-01,-1.029431599E-01, 0.000000000E+00, 1.006740501E+00
       216,-7.389026570E-02,-1.029146341E-01, 0.000000000E+00, 1.000559257E+00
       217, 1.800357475E-01,-1.029117009E-01, 0.000000000E+00, 1.006848693E+00
       218, 1.976329912E-01,-1.028258955E-01, 0.000000000E+00, 1.006770020E+00
       219,-7.993454461E-02,-1.026932860E-01, 0.000000000E+00, 1.000379854E+00
       220,-8.596459157E-02,-1.026862899E-01, 0.000000000E+00, 1.000239447E+00
       221,-1.044102673E-01,-1.025802432E-01, 0.000000000E+00, 1.000013555E+00
       222,-9.973051431E-02,-1.021759629E-01, 0.000000000E+00, 1.000043403E+00
       223, 1.942134769E-01,-1.019592866E-01, 0.000000000E+00, 1.006792201E+00
