nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude,      x-velocity,      y-velocity,      z-velocity
      8607, 2.843749956E-03, 1.035613944E-02, 0.000000000E+00, 1.623126641E-01, 1.593541448E-01,-3.074288773E-02, 0.000000000E+00
      8608, 9.625939450E-02, 1.035746352E-02, 0.000000000E+00, 7.641783622E-01, 7.641111423E-01,-1.009797874E-02, 0.000000000E+00
      8609,-3.966470286E-03, 1.035969103E-02, 0.000000000E+00, 4.416725313E-01, 4.129229970E-01, 1.566575246E-01, 0.000000000E+00
      8610,-1.623588285E-03, 1.036025147E-02, 0.000000000E+00, 2.052052986E-01, 2.020681245E-01, 3.570197978E-02, 0.000000000E+00
      8611, 8.054651795E-03, 1.036291186E-02, 0.000000000E+00, 2.895006944E-01, 2.781302194E-01,-8.007247334E-02, 0.000000000E+00
      8612,-7.294775033E-03, 1.037216015E-02, 0.000000000E+00, 7.856723612E-01, 6.928767739E-01, 3.700194276E-01, 0.000000000E+00
      8613,-1.021161339E-03, 1.037381004E-02, 0.000000000E+00, 1.611336891E-01, 1.600780456E-01, 1.833046469E-02, 0.000000000E+00
      8614, 9.957553870E-03, 1.037744627E-02, 0.000000000E+00, 3.177032738E-01, 3.062519647E-01,-8.410108300E-02, 0.000000000E+00
      8615,-6.265770266E-03, 1.038046128E-02, 0.000000000E+00, 7.148641738E-01, 6.365793451E-01, 3.250600408E-01, 0.000000000E+00
      8616, 3.041350049E-03, 1.038694002E-02, 0.000000000E+00, 1.789302690E-01, 1.755013311E-01,-3.474018898E-02, 0.000000000E+00
      8617, 5.331495053E-04, 1.039092225E-02, 0.000000000E+00, 1.341628911E-01, 1.341299861E-01,-2.382796949E-03, 0.000000000E+00
      8618,-1.364880877E-03, 1.039400789E-02, 0.000000000E+00, 1.975167959E-01, 1.952241700E-01, 2.995274826E-02, 0.000000000E+00
      8619, 2.795299838E-04, 1.039419380E-02, 0.000000000E+00, 1.364434154E-01, 1.364362321E-01,-3.551402183E-04, 0.000000000E+00
      8620,-7.627051792E-04, 1.039558335E-02, 0.000000000E+00, 1.584620993E-01, 1.576983706E-01, 1.540978889E-02, 0.000000000E+00
      8621, 1.278843153E-03, 1.039646096E-02, 0.000000000E+00, 1.411145422E-01, 1.406389106E-01,-1.141091130E-02, 0.000000000E+00
      8622,-5.957777464E-03, 1.040085205E-02, 0.000000000E+00, 6.793487914E-01, 6.073811424E-01, 3.041158464E-01, 0.000000000E+00
      8623, 1.066915690E-03, 1.040375868E-02, 0.000000000E+00, 1.353299646E-01, 1.350091949E-01,-9.210049721E-03, 0.000000000E+00
