nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude,      x-velocity,      y-velocity,      z-velocity
      6730,-9.724130317E-03, 3.447465729E-03, 0.000000000E+00, 6.100332838E-02, 2.556839955E-02, 5.537737593E-02, 0.000000000E+00
      6731, 9.213537487E-02, 3.449212747E-03, 0.000000000E+00, 7.463187937E-01, 7.463054792E-01,-3.915725096E-03, 0.000000000E+00
      6732, 9.821265761E-03, 3.449691697E-03, 0.000000000E+00, 5.759454571E-03, 2.761647669E-03,-5.051891434E-03, 0.000000000E+00
      6733, 1.013288676E-02, 3.467206482E-03, 0.000000000E+00, 9.978544833E-03, 5.441202769E-03,-8.360129905E-03, 0.000000000E+00
      6734,-3.692432227E-02, 3.467795551E-03, 0.000000000E+00, 9.471541608E-01, 9.471283781E-01, 6.463954894E-03, 0.000000000E+00
      6735,-9.841535956E-03, 3.489329829E-03, 0.000000000E+00, 7.866573250E-02, 3.505629619E-02, 7.039633819E-02, 0.000000000E+00
      6736,-1.021956468E-02, 3.494021647E-03, 0.000000000E+00, 1.336142592E-01, 7.065276897E-02, 1.132818533E-01, 0.000000000E+00
      6737, 4.002589259E-02, 3.495178079E-03, 0.000000000E+00, 5.008359508E-01, 5.005055675E-01,-1.717784052E-02, 0.000000000E+00
      6738, 5.767587044E-02, 3.509752877E-03, 0.000000000E+00, 6.242461835E-01, 6.241695237E-01,-9.040863469E-03, 0.000000000E+00
      6739, 1.023581154E-02, 3.516785158E-03, 0.000000000E+00, 1.212241818E-02, 6.913079792E-03,-9.955398606E-03, 0.000000000E+00
      6740, 1.139428879E-01, 3.517074830E-03, 0.000000000E+00, 7.910710550E-01, 7.910642143E-01,-2.850002330E-03, 0.000000000E+00
      6741, 1.319868684E-02, 3.517899274E-03, 0.000000000E+00, 6.578696016E-02, 5.698347877E-02,-3.274463288E-02, 0.000000000E+00
      6742,-1.158586953E-02, 3.524683288E-03, 0.000000000E+00, 2.730230652E-01, 2.068251721E-01, 1.774810264E-01, 0.000000000E+00
      6743, 9.848161289E-03, 3.543882957E-03, 0.000000000E+00, 6.849300391E-03, 3.417271792E-03,-5.933321261E-03, 0.000000000E+00
      6744, 9.347956846E-03, 3.549632887E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
      6745, 9.365692464E-03, 3.556367379E-03, 0.000000000E+00, 2.653471683E-04, 9.682724309E-05,-2.470252651E-04, 0.000000000E+00
      6746, 9.387015378E-03, 3.564464005E-03, 0.000000000E+00, 5.758308072E-04, 2.146068140E-04,-5.342938790E-04, 0.000000000E+00
      6747,-1.048429315E-02, 3.569044918E-03, 0.000000000E+00, 1.648946050E-01, 9.462714248E-02, 1.348695968E-01, 0.000000000E+00
      6748,-9.879656513E-03, 3.572382355E-03, 0.000000000E+00, 9.315223576E-02, 4.363952335E-02, 8.226116643E-02, 0.000000000E+00
      6749, 9.412660510E-03, 3.574202795E-03, 0.000000000E+00, 9.554916880E-04, 3.650673896E-04,-8.829109602E-04, 0.000000000E+00
      6750,-9.337392042E-03, 3.577335701E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
      6751,-9.355122893E-03, 3.584128582E-03, 0.000000000E+00, 4.196328068E-03, 1.528254171E-03, 3.907787349E-03, 0.000000000E+00
      6752, 9.443517857E-03, 3.585922296E-03, 0.000000000E+00, 1.421337461E-03, 5.591058197E-04,-1.306614009E-03, 0.000000000E+00
      6753,-9.376440117E-03, 3.592295933E-03, 0.000000000E+00, 8.986029265E-03, 3.314707206E-03, 8.351582479E-03, 0.000000000E+00
      6754, 9.480666785E-03, 3.600033267E-03, 0.000000000E+00, 1.995174858E-03, 8.114153159E-04,-1.822518333E-03, 0.000000000E+00
      6755, 1.909539736E-02, 3.601686373E-03, 0.000000000E+00, 1.944272748E-01, 1.902743864E-01,-3.930776708E-02, 0.000000000E+00
      6756,-9.402078439E-03, 3.602120518E-03, 0.000000000E+00, 1.467648298E-02, 5.501269371E-03, 1.360521493E-02, 0.000000000E+00
      6757, 1.002023751E-02, 3.602343729E-03, 0.000000000E+00, 9.386566635E-03, 5.027007820E-03,-7.922279273E-03, 0.000000000E+00
      6758, 1.051582336E-02, 3.607924104E-03, 0.000000000E+00, 1.628595317E-02, 9.993381627E-03,-1.285457843E-02, 0.000000000E+00
      6759,-1.209889254E-02, 3.610312419E-03, 0.000000000E+00, 3.157337743E-01, 2.548006800E-01, 1.856167032E-01, 0.000000000E+00
      6760,-9.432927626E-03, 3.613944305E-03, 0.000000000E+00, 2.142562439E-02, 8.191845231E-03, 1.979597304E-02, 0.000000000E+00
      6761, 9.525419041E-03, 3.617035156E-03, 0.000000000E+00, 2.705190537E-03, 1.142425315E-03,-2.451821352E-03, 0.000000000E+00
      6762, 1.088661596E-02, 3.626503297E-03, 0.000000000E+00, 2.370171952E-02, 1.607980792E-02,-1.738650708E-02, 0.000000000E+00
      6763,-1.008454878E-02, 3.627692863E-03, 0.000000000E+00, 1.243882504E-01, 6.366917793E-02, 1.067348528E-01, 0.000000000E+00
      6764,-9.470066782E-03, 3.628182345E-03, 0.000000000E+00, 2.941476213E-02, 1.151591989E-02, 2.706433435E-02, 0.000000000E+00
      6765, 9.579372653E-03, 3.637536782E-03, 0.000000000E+00, 3.588242144E-03, 1.582494388E-03,-3.219955483E-03, 0.000000000E+00
      6766,-7.613372294E-02, 3.637857435E-03, 0.000000000E+00, 9.958790175E-01, 9.958788166E-01, 5.490778170E-04, 0.000000000E+00
      6767,-9.514807312E-03, 3.645339491E-03, 0.000000000E+00, 3.885021795E-02, 1.563719352E-02, 3.556095508E-02, 0.000000000E+00
      6768, 1.149467088E-02, 3.649283140E-03, 0.000000000E+00, 3.501703283E-02, 2.618495849E-02,-2.320488605E-02, 0.000000000E+00
      6769, 1.223755382E-02, 3.650576762E-03, 0.000000000E+00, 4.962711130E-02, 4.027692536E-02,-2.891823730E-02, 0.000000000E+00
      6770, 3.235905204E-02, 3.658030857E-03, 0.000000000E+00, 4.139146896E-01, 4.131651159E-01,-2.350475051E-02, 0.000000000E+00
      6771, 1.029864242E-02, 3.658723625E-03, 0.000000000E+00, 1.424769436E-02, 8.436618341E-03,-1.147377720E-02, 0.000000000E+00
      6772, 9.644479982E-03, 3.662282522E-03, 0.000000000E+00, 4.816444295E-03, 2.242695530E-03,-4.261502847E-03, 0.000000000E+00
      6773,-1.103320047E-02, 3.663926010E-03, 0.000000000E+00, 2.312270165E-01, 1.558827188E-01, 1.703936661E-01, 0.000000000E+00
      6774,-9.568746766E-03, 3.666031419E-03, 0.000000000E+00, 4.996639803E-02, 2.079329052E-02, 4.542965073E-02, 0.000000000E+00
      6775, 1.522352139E-02, 3.666640674E-03, 0.000000000E+00, 1.074709014E-01, 1.003228547E-01,-3.827482379E-02, 0.000000000E+00
      6776,-1.375612602E-02, 3.669088649E-03, 0.000000000E+00, 4.455603412E-01, 4.111175985E-01, 1.698030837E-01, 0.000000000E+00
      6777,-9.633836879E-03, 3.691011296E-03, 0.000000000E+00, 6.516517432E-02, 2.840154480E-02, 5.864083932E-02, 0.000000000E+00
      6778, 9.737554256E-03, 3.697721608E-03, 0.000000000E+00, 6.474746483E-03, 3.200595893E-03,-5.626045105E-03, 0.000000000E+00
      6779, 1.005281069E-02, 3.716049613E-03, 0.000000000E+00, 1.145182680E-02, 6.410695721E-03,-9.483397472E-03, 0.000000000E+00
      6780,-7.337924842E-02, 3.725523751E-03, 0.000000000E+00, 9.949447959E-01, 9.949445312E-01, 6.526067413E-04, 0.000000000E+00
      6781,-1.141911982E-02, 3.725552832E-03, 0.000000000E+00, 2.703125419E-01, 1.966252207E-01, 1.848583501E-01, 0.000000000E+00
      6782, 1.066262064E-02, 3.727206247E-03, 0.000000000E+00, 2.069434620E-02, 1.346203015E-02,-1.569258174E-02, 0.000000000E+00
      6783,-9.742818890E-03, 3.732980756E-03, 0.000000000E+00, 8.604867934E-02, 3.986159000E-02, 7.622529367E-02, 0.000000000E+00
      6784, 1.385359835E-02, 3.752142918E-03, 0.000000000E+00, 8.236427979E-02, 7.347234290E-02,-3.707780740E-02, 0.000000000E+00
      6785,-1.302059100E-02, 3.758184776E-03, 0.000000000E+00, 3.999240935E-01, 3.555170299E-01, 1.817041568E-01, 0.000000000E+00
      6786, 1.023968684E-02, 3.761986818E-03, 0.000000000E+00, 1.431474687E-02, 8.440666969E-03,-1.155391106E-02, 0.000000000E+00
      6787, 9.759961470E-03, 3.772125021E-03, 0.000000000E+00, 7.897885041E-03, 4.081130833E-03,-6.758239929E-03, 0.000000000E+00
      6788, 9.256054034E-03, 3.782835335E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
      6789,-1.053081822E-02, 3.784278054E-03, 0.000000000E+00, 1.906626807E-01, 1.145336390E-01, 1.522614741E-01, 0.000000000E+00
      6790, 4.588731790E-02, 3.784372648E-03, 0.000000000E+00, 5.501082753E-01, 5.499127198E-01,-1.388549874E-02, 0.000000000E+00
      6791, 9.273602466E-03, 3.790007065E-03, 0.000000000E+00, 3.015855971E-04, 1.169340173E-04,-2.779657057E-04, 0.000000000E+00
      6792,-1.814196246E-02, 3.798543924E-03, 0.000000000E+00, 6.858755931E-01, 6.796355161E-01, 9.029662249E-02, 0.000000000E+00
      6793, 9.294700670E-03, 3.798629184E-03, 0.000000000E+00, 6.539469177E-04, 2.583460192E-04,-6.006950603E-04, 0.000000000E+00
      6794, 1.195358640E-01, 3.802694496E-03, 0.000000000E+00, 8.004921229E-01, 8.004857436E-01,-2.875823739E-03, 0.000000000E+00
      6795, 9.320076136E-03, 3.808999322E-03, 0.000000000E+00, 1.084087265E-03, 4.378616378E-04,-9.916280596E-04, 0.000000000E+00
      6796,-9.244808256E-03, 3.810236191E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
      6797, 9.975151410E-03, 3.813072455E-03, 0.000000000E+00, 1.093921385E-02, 6.047231337E-03,-9.109285898E-03, 0.000000000E+00
      6798,-9.262351982E-03, 3.817466780E-03, 0.000000000E+00, 4.443409524E-03, 1.719530232E-03, 4.096829284E-03, 0.000000000E+00
      6799, 6.591829905E-02, 3.818705934E-03, 0.000000000E+00, 6.664278645E-01, 6.663733146E-01,-7.954583857E-03, 0.000000000E+00
      6800, 9.350609797E-03, 3.821477513E-03, 0.000000000E+00, 1.610843218E-03, 6.677796591E-04,-1.465757385E-03, 0.000000000E+00
      6801, 6.047997685E-02, 3.824077344E-03, 0.000000000E+00, 6.389992247E-01, 6.389235655E-01,-9.051238209E-03, 0.000000000E+00
      6802,-9.283444472E-03, 3.826160180E-03, 0.000000000E+00, 9.515499326E-03, 3.723324051E-03, 8.756008952E-03, 0.000000000E+00
      6803,-9.308813046E-03, 3.836616564E-03, 0.000000000E+00, 1.554177661E-02, 6.166471712E-03, 1.426479824E-02, 0.000000000E+00
      6804, 9.387370063E-03, 3.836500415E-03, 0.000000000E+00, 2.258260941E-03, 9.645644078E-04,-2.041677087E-03, 0.000000000E+00
      6805,-1.011941460E-02, 3.839668438E-03, 0.000000000E+00, 1.473327993E-01, 7.947450156E-02, 1.239575905E-01, 0.000000000E+00
      6806,-2.643815254E-02, 3.845481629E-03, 0.000000000E+00, 8.741104425E-01, 8.737429822E-01, 2.399687764E-02, 0.000000000E+00
      6807,-9.339338402E-03, 3.849199266E-03, 0.000000000E+00, 2.268931363E-02, 9.158856147E-03, 2.075673053E-02, 0.000000000E+00
      6808, 9.431655468E-03, 3.854598744E-03, 0.000000000E+00, 3.057275669E-03, 1.350955095E-03,-2.742274697E-03, 0.000000000E+00
      6809, 1.117770586E-02, 3.854988767E-03, 0.000000000E+00, 3.157545956E-02, 2.274282601E-02,-2.186081793E-02, 0.000000000E+00
      6810, 9.395838866E-02, 3.862882378E-03, 0.000000000E+00, 7.526855526E-01, 7.526707196E-01,-4.223757685E-03, 0.000000000E+00
      6811,-9.376088696E-03, 3.864349051E-03, 0.000000000E+00, 3.114945275E-02, 1.283580805E-02, 2.837925406E-02, 0.000000000E+00
      6812,-9.760685629E-03, 3.867786414E-03, 0.000000000E+00, 9.921318372E-02, 4.785214871E-02, 8.687565903E-02, 0.000000000E+00
      6813, 9.717408703E-03, 3.869905895E-03, 0.000000000E+00, 7.953513753E-03, 4.122613246E-03,-6.797937500E-03, 0.000000000E+00
      6814, 9.485048017E-03, 3.876419076E-03, 0.000000000E+00, 4.048164665E-03, 1.860367531E-03,-3.594868290E-03, 0.000000000E+00
      6815,-9.420362104E-03, 3.882601729E-03, 0.000000000E+00, 4.113926498E-02, 1.736834918E-02, 3.728963123E-02, 0.000000000E+00
      6816,-1.084471733E-02, 3.884851741E-03, 0.000000000E+00, 2.257937681E-01, 1.464001487E-01, 1.715204694E-01, 0.000000000E+00
      6817,-1.632591653E-02, 3.885155288E-03, 0.000000000E+00, 6.051354914E-01, 5.931340313E-01, 1.177708624E-01, 0.000000000E+00
      6818, 1.028777189E-02, 3.889103802E-03, 0.000000000E+00, 1.752433054E-02, 1.079791376E-02,-1.379292613E-02, 0.000000000E+00
      6819,-3.929379913E-02, 3.896222567E-03, 0.000000000E+00, 9.554739490E-01, 9.554501796E-01, 6.174614186E-03, 0.000000000E+00
      6820, 9.549480564E-03, 3.902751387E-03, 0.000000000E+00, 5.378533806E-03, 2.593184789E-03,-4.711183092E-03, 0.000000000E+00
      6821,-9.473740131E-03, 3.904610239E-03, 0.000000000E+00, 5.290216388E-02, 2.299039677E-02, 4.764057664E-02, 0.000000000E+00
      6822, 1.189803039E-02, 3.908304406E-03, 0.000000000E+00, 4.574824460E-02, 3.596072486E-02,-2.820364974E-02, 0.000000000E+00
      6823, 1.276665557E-02, 3.927251066E-03, 0.000000000E+00, 6.329626098E-02, 5.333207403E-02,-3.399349991E-02, 0.000000000E+00
      6824, 9.609957457E-03, 3.927521868E-03, 0.000000000E+00, 7.119288170E-03, 3.610876097E-03,-6.133919624E-03, 0.000000000E+00
      6825,-9.538154973E-03, 3.931172564E-03, 0.000000000E+00, 6.853193775E-02, 3.099094848E-02, 6.111617033E-02, 0.000000000E+00
      6826, 2.687752385E-02, 3.932662303E-03, 0.000000000E+00, 3.431437311E-01, 3.415886827E-01,-3.157435715E-02, 0.000000000E+00
      6827, 1.057572511E-02, 3.941620069E-03, 0.000000000E+00, 2.174097160E-02, 1.414936148E-02,-1.648386877E-02, 0.000000000E+00
      6828, 6.934216521E-02, 3.942275283E-03, 0.000000000E+00, 6.782488662E-01, 6.781979787E-01,-7.708433176E-03, 0.000000000E+00
      6829,-1.035504273E-02, 3.942704775E-03, 0.000000000E+00, 1.810237492E-01, 1.051122428E-01, 1.472177444E-01, 0.000000000E+00
      6830, 1.223698867E-01, 3.951154759E-03, 0.000000000E+00, 8.049736944E-01, 8.049671730E-01,-2.919268125E-03, 0.000000000E+00
      6831,-9.960196503E-03, 3.964160732E-03, 0.000000000E+00, 1.336961014E-01, 6.976922585E-02, 1.139500733E-01, 0.000000000E+00
      6832,-9.633256477E-03, 3.970345451E-03, 0.000000000E+00, 8.941626611E-02, 4.256969156E-02, 7.860423027E-02, 0.000000000E+00
      6833,-5.057206898E-02, 3.979458016E-03, 0.000000000E+00, 9.786559684E-01, 9.786517935E-01, 2.629806433E-03, 0.000000000E+00
      6834, 1.000149559E-02, 3.979642012E-03, 0.000000000E+00, 1.324058939E-02, 7.620971778E-03,-1.082216248E-02, 0.000000000E+00
      6835, 2.058039252E-02, 3.983997739E-03, 0.000000000E+00, 2.260106718E-01, 2.223172686E-01,-3.989545726E-02, 0.000000000E+00
      6836,-1.219186210E-02, 3.999900516E-03, 0.000000000E+00, 3.591122885E-01, 2.961254311E-01, 2.022203558E-01, 0.000000000E+00
      6837, 9.158540250E-03, 4.013161656E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
      6838, 9.175906976E-03, 4.020771560E-03, 0.000000000E+00, 3.412940032E-04, 1.400270135E-04,-3.112143136E-04, 0.000000000E+00
      6839, 9.196786787E-03, 4.029920377E-03, 0.000000000E+00, 7.394901899E-04, 3.085044810E-04,-6.719977950E-04, 0.000000000E+00
      6840,-9.146283079E-03, 4.040996713E-03, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00, 0.000000000E+00
      6841, 9.221899834E-03, 4.040923359E-03, 0.000000000E+00, 1.224818419E-03, 5.211905897E-04,-1.108280645E-03, 0.000000000E+00
